model,quant,n,mean_f1,std_f1,mean_precision,mean_recall,json_valid_pct,schema_valid_pct,mean_hallucination,exact_match_pct,mean_latency,mean_tokens_in,model_size_gb,success_rate
qwen2.5-3b,f16,100,0.1083,0.2837,0.115,0.105,10.0,87.0,0.06,7.0,2.87,1488,5.75,14.0
qwen2.5-3b,q8_0,100,0.1183,0.2971,0.125,0.115,10.0,87.0,0.06,8.0,2.55,1488,3.06,15.0
qwen2.5-3b,q6_k,100,0.09,0.2467,0.1,0.085,9.0,89.0,0.03,4.0,2.58,1488,2.36,13.0
qwen2.5-3b,q5_k_m,100,0.065,0.1923,0.075,0.06,8.0,89.0,0.06,1.0,2.91,1488,2.07,11.0
qwen2.5-3b,q4_k_m,100,0.3167,0.3635,0.34,0.305,19.0,69.0,0.175,13.0,5.16,1488,1.96,48.0
qwen2.5-3b,q3_k_m,100,0.005,0.05,0.005,0.005,12.0,86.0,0.07,0.0,11.56,1488,1.48,1.0
qwen2.5-3b,q2_k,100,0.02,0.1214,0.02,0.02,1.0,97.0,0.02,1.0,9.54,1488,1.19,3.0
llama-3.2-3b,f16,100,0.3067,0.4499,0.305,0.31,1.0,96.0,0.055,28.0,14.26,1405,5.99,33.0
llama-3.2-3b,q8_0,100,0.3367,0.4618,0.335,0.34,1.0,95.0,0.0717,31.0,10.04,1405,3.19,36.0
llama-3.2-3b,q6_k,100,0.353,0.4652,0.3517,0.355,3.0,98.0,0.0733,32.0,9.57,1405,2.46,38.0
llama-3.2-3b,q5_k_m,100,0.3547,0.4626,0.3517,0.36,1.0,95.0,0.1317,32.0,11.42,1405,2.16,39.0
llama-3.2-3b,q4_k_m,100,0.321,0.454,0.3183,0.325,3.0,97.0,0.1333,29.0,8.35,1405,1.88,35.0
phi-3.5-mini,q8_0,100,0.449,0.4051,0.4483,0.45,87.0,93.0,0.095,28.0,6.78,1772,3.78,62.0
phi-3.5-mini,q6_k,100,0.415,0.3896,0.415,0.415,88.0,94.0,0.105,23.0,6.75,1772,2.92,60.0
phi-3.5-mini,q5_k_m,100,0.405,0.374,0.405,0.405,88.0,89.0,0.095,20.0,6.37,1772,2.62,61.0
phi-3.5-mini,q4_k_m,100,0.51,0.4437,0.51,0.51,93.0,98.0,0.105,40.0,4.97,1772,2.23,62.0
phi-3.5-mini,q3_k_m,100,0.3702,0.3686,0.3645,0.38,91.0,98.0,0.225,18.0,5.91,1772,1.82,58.0
phi-3.5-mini,q2_k,100,0.2737,0.3595,0.2607,0.295,58.0,93.0,0.1852,10.0,5.16,1772,1.32,41.0
mistral-7b,q8_0,100,0.53,0.437,0.53,0.53,76.0,92.0,0.205,41.0,12.26,1770,7.17,65.0
mistral-7b,q6_k,100,0.525,0.4227,0.525,0.525,79.0,90.0,0.255,38.0,11.93,1770,5.54,67.0
mistral-7b,q5_k_m,100,0.58,0.4247,0.58,0.58,85.0,96.0,0.285,45.0,10.03,1770,4.78,71.0
mistral-7b,q4_k_m,100,0.455,0.421,0.455,0.455,71.0,90.0,0.235,31.0,12.8,1770,4.07,60.0
mistral-7b,q3_k_m,100,0.425,0.4227,0.425,0.425,74.0,87.0,0.305,29.0,12.65,1770,3.28,56.0
mistral-7b,q2_k,100,0.329,0.4154,0.3283,0.33,65.0,97.0,0.3,23.0,14.03,1770,2.54,43.0
